id,word_id,form_type,position,accented
126431,46797,verb_gerund_past,2,прослаивавши
126432,46798,verb_gerund_present,1,просмаливая
126433,46798,verb_gerund_past,1,просмаливав
126434,46798,verb_gerund_past,2,просмаливавши
126435,46801,verb_gerund_past,1,проспиртова'в
126436,46801,verb_gerund_past,2,проспиртовавши
126437,46802,verb_gerund_past,1,проспиртовавшись
126438,46803,verb_gerund_past,1,проспо'рив
126439,46803,verb_gerund_past,2,проспоривши
126440,46803,verb_gerund_past,3,проспо'ря
126441,46805,verb_gerund_present,1,просро'чивая
126442,46805,verb_gerund_past,1,просрочивав
126443,46805,verb_gerund_past,2,просрочивавши
126444,46807,verb_gerund_present,1,проставля'я
126445,46807,verb_gerund_past,1,проставляв
126446,46807,verb_gerund_past,2,проставлявши
126447,46810,verb_gerund_past,1,простирну'в
126448,46810,verb_gerund_past,2,простирнувши
126449,46811,verb_gerund_present,1,прости'рывая
126450,46811,verb_gerund_past,1,простирывав
126451,46811,verb_gerund_past,2,простирывавши
126452,46812,verb_gerund_present,1,проституи'руя
126453,46812,verb_gerund_past,1,проституировавши
126454,46820,verb_gerund_present,1,прострачивая
126455,46820,verb_gerund_past,1,прострачивав
126456,46820,verb_gerund_past,2,прострачивавши
126457,46822,verb_gerund_present,1,просту'кивая
126458,46822,verb_gerund_past,1,простукивав
126459,46822,verb_gerund_past,2,простукивавши
126460,46824,verb_gerund_present,1,простыва'я
126461,46824,verb_gerund_past,1,простывав
126462,46824,verb_gerund_past,2,простывавши
126463,46825,verb_gerund_present,1,просу'шивая
126464,46825,verb_gerund_past,1,просушивав
126465,46825,verb_gerund_past,2,просушивавши
126466,46826,verb_gerund_present,1,просу'шиваясь
126467,46826,verb_gerund_past,1,просушивавшись
126468,46828,verb_gerund_present,1,просчи'тываясь
126469,46828,verb_gerund_past,1,просчитывавшись
126470,46831,verb_gerund_present,1,прота'ивая
126471,46831,verb_gerund_past,1,протаивав
126472,46831,verb_gerund_past,2,протаивавши
126473,46832,verb_gerund_past,1,протанцева'в
126474,46832,verb_gerund_past,2,протанцевавши
126475,46833,verb_gerund_present,1,протапливая
126476,46833,verb_gerund_past,1,протапливав
126477,46833,verb_gerund_past,2,протапливавши
126478,46834,verb_gerund_past,1,протара'нив
126479,46834,verb_gerund_past,2,протаранивши
126480,46834,verb_gerund_past,3,протара'ня
126481,46835,verb_gerund_present,1,прота'скивая
126482,46835,verb_gerund_past,1,протаскивав
126483,46835,verb_gerund_past,2,протаскивавши
126484,46836,verb_gerund_present,1,прота'чивая
126485,46836,verb_gerund_past,1,протачивав
126486,46836,verb_gerund_past,2,протачивавши
126487,46837,verb_gerund_present,1,протежи'руя
126488,46837,verb_gerund_past,1,протежировавши
126489,46847,verb_gerund_past,1,протерпев
126490,46847,verb_gerund_past,2,протерпевши
126491,46852,verb_gerund_present,1,противобо'рствуя
126492,46852,verb_gerund_past,1,противоборствовавши
126493,46874,verb_gerund_present,1,протира'ясь
126494,46874,verb_gerund_past,1,протиравшись
126495,46879,verb_gerund_present,1,протоколи'руя
126496,46879,verb_gerund_past,1,протоколировавши
126497,46880,verb_gerund_past,1,проторговавшись
126498,46882,verb_gerund_present,1,проторяя
126499,46882,verb_gerund_past,1,проторяв
126500,46882,verb_gerund_past,2,проторявши
126501,46886,verb_gerund_present,1,протра'вливая
126502,46886,verb_gerund_past,1,протравливав
126503,46886,verb_gerund_past,2,протравливавши
126504,46887,verb_gerund_present,1,протрезвля'я
126505,46887,verb_gerund_past,1,протрезвляв
126506,46887,verb_gerund_past,2,протрезвлявши
126507,46888,verb_gerund_present,1,протрезвля'ясь
126508,46888,verb_gerund_past,1,протрезвлявшись
126509,46891,verb_gerund_present,1,протя'гиваясь
126510,46891,verb_gerund_past,1,протягивавшись
126511,46893,verb_gerund_past,1,проуча'сь
126512,46893,verb_gerund_past,2,проучи'вшись
126513,46896,verb_gerund_present,1,профани'руя
126514,46896,verb_gerund_past,1,профанировав
126515,46896,verb_gerund_past,2,профанировавши
126516,46903,verb_gerund_past,1,профильтрова'в
126517,46903,verb_gerund_past,2,профильтровавши
126518,46910,verb_gerund_present,1,прохва'тывая
126519,46910,verb_gerund_past,1,прохватывав
126520,46910,verb_gerund_past,2,прохватывавши
126521,46911,verb_gerund_past,1,прохвора'в
126522,46911,verb_gerund_past,2,прохворавши
126523,46913,verb_gerund_past,1,прохло'пав
126524,46913,verb_gerund_past,2,прохлопавши
126525,46919,verb_gerund_present,1,прошива'я
126526,46919,verb_gerund_past,1,прошивав
126527,46919,verb_gerund_past,2,прошивавши
126528,46921,verb_gerund_present,1,прошмы'гивая
126529,46921,verb_gerund_past,1,прошмыгивав
126530,46921,verb_gerund_past,2,прошмыгивавши
126531,46922,verb_gerund_present,1,прошнуровывая
126532,46922,verb_gerund_past,1,прошнуровывав
126533,46922,verb_gerund_past,2,прошнуровывавши
126534,46923,verb_gerund_present,1,прошпаклёвывая
126535,46923,verb_gerund_past,1,прошпаклёвывав
126536,46923,verb_gerund_past,2,прошпаклёвывавши
126537,46924,verb_gerund_past,1,проштра'фившись
126538,46924,verb_gerund_past,2,проштра'фясь
126539,46925,verb_gerund_past,1,прошуме'в
126540,46925,verb_gerund_past,2,прошумевши
126541,46932,verb_gerund_present,1,пружи'нясь
126542,46932,verb_gerund_past,1,пружинившись
126543,46937,verb_gerund_present,1,пры'скаясь
126544,46937,verb_gerund_past,1,прыскавшись
126545,46989,verb_gerund_present,1,пудлингуя
126546,46989,verb_gerund_past,1,пудлинговав
126547,46989,verb_gerund_past,2,пудлинговавши
126548,46993,verb_gerund_present,1,пу'дрясь
126549,46993,verb_gerund_past,1,пудрившись
126550,47000,verb_gerund_present,1,пульверизи'руя
126551,47000,verb_gerund_past,1,пульверизировав
126552,47000,verb_gerund_past,2,пульверизировавши
126553,47024,verb_gerund_present,1,пустозво'ня
126554,47024,verb_gerund_past,1,пустозвонив
126555,47024,verb_gerund_past,2,пустозвонивши
126556,47030,verb_gerund_present,1,пустосло'вя
126557,47030,verb_gerund_past,1,пустословив
