word_id,incomparable,comparative,superlative,short_m,short_f,short_n,short_pl,decl_m_id,decl_f_id,decl_n_id,decl_pl_id
71249,,,,,,,,145867,145868,145869,145870
71250,,,,,,,,145871,145872,145873,145874
71251,,,,,,,,145875,145876,145877,145878
71252,,,,,,,,145879,145880,145881,145882
71253,,,,,,,,145883,145884,145885,145886
71254,,,,продран,продрана,продрано,продраны,145887,145888,145889,145890
71255,,,,,,,,145891,145892,145893,145894
71256,,,,,,,,145895,145896,145897,145898
71257,,,,зарываем,зарываема,зарываемо,зарываемы,145899,145900,145901,145902
71258,,,,,,,,145903,145904,145905,145906
71259,,,,,,,,145907,145908,145909,145910
71260,,,,,,,,145911,145912,145913,145914
71261,,,,калечим,калечима,калечимо,калечимы,145915,145916,145917,145918
71262,,,,калечен,калечена,калечено,калечены,145919,145920,145921,145922
71263,,,,,,,,145923,145924,145925,145926
71264,,,,,,,,145927,145928,145929,145930
71265,,,,запрашиваем,запрашиваема,запрашиваемо,запрашиваемы,145931,145932,145933,145934
71266,,,,,,,,145935,145936,145937,145938
71267,,,,прождан,прождана,прождано,прожданы,145939,145940,145941,145942
71268,,,,,,,,145943,145944,145945,145946
71269,,,,,,,,145947,145948,145949,145950
71270,,,,,,,,145951,145952,145953,145954
71271,,,,спихнут,спихнута,спихнуто,спихнуты,145955,145956,145957,145958
71272,,,,,,,,145959,145960,145961,145962
71273,,,,проращён,проращена,проращено,проращены,145963,145964,145965,145966
71274,,,,,,,,145967,145968,145969,145970
71275,,,,,,,,145971,145972,145973,145974
71276,,,,,,,,145975,145976,145977,145978
71277,,,,защёлкан,защёлкана,защёлкано,защёлканы,145979,145980,145981,145982
71278,,,,,,,,145983,145984,145985,145986
71279,,,,,,,,145987,145988,145989,145990
71280,,,,смакуем,смакуема,смакуемо,смакуемы,145991,145992,145993,145994
71281,,,,смакован,смакована,смаковано,смакованы,145995,145996,145997,145998
71282,,,,,,,,145999,146000,146001,146002
71283,,,,,,,,146003,146004,146005,146006
71284,,,,,,,,146007,146008,146009,146010
71285,,,,,,,,146011,146012,146013,146014
71286,,,,,,,,146015,146016,146017,146018
71287,,,,предостережён,предостережена,предостережено,предостережены,146019,146020,146021,146022
71288,,,,,,,,146023,146024,146025,146026
71289,,,,,,,,146027,146028,146029,146030
71290,,,,,,,,146031,146032,146033,146034
71291,,,,,,,,146035,146036,146037,146038
71292,,,,,,,,146039,146040,146041,146042
71293,,,,,,,,146043,146044,146045,146046
71294,,,,,,,,146047,146048,146049,146050
71295,,,,,,,,146051,146052,146053,146054
71296,,,,продавлен,продавлена,продавлено,продавлены,146055,146056,146057,146058
71297,,,,,,,,146059,146060,146061,146062
71298,,,,,,,,146063,146064,146065,146066
71299,,,,разослан,разослана,разослано,разосланы,146067,146068,146069,146070
71300,,,,,,,,146071,146072,146073,146074
71301,,,,раскручен,раскручена,раскручено,раскручены,146075,146076,146077,146078
71302,,,,,,,,146079,146080,146081,146082
71303,,,,,,,,146083,146084,146085,146086
71304,,,,заботим,заботима,заботимо,заботимы,146087,146088,146089,146090
71305,,,,забочен,забочена,забочено,забочены,146091,146092,146093,146094
71306,,,,,,,,146095,146096,146097,146098
71307,,,,отучен,отучена,отучено,отучены,146099,146100,146101,146102
71308,,,,,,,,146103,146104,146105,146106
71309,,,,,,,,146107,146108,146109,146110
71310,,,,воспет,воспета,воспето,воспеты,146111,146112,146113,146114
71311,,,,,,,,146115,146116,146117,146118
71312,,,,обезболиваем,обезболиваема,обезболиваемо,обезболиваемы,146119,146120,146121,146122
71313,,,,,,,,146123,146124,146125,146126
71314,,,,,,,,146127,146128,146129,146130
71315,,,,,,,,146131,146132,146133,146134
71316,,,,,,,,146135,146136,146137,146138
71317,,,,обвит,обвита,обвито,обвиты,146139,146140,146141,146142
71318,,,,,,,,146143,146144,146145,146146
71319,,,,отпихнут,отпихнута,отпихнуто,отпихнуты,146147,146148,146149,146150
71320,,,,,,,,146151,146152,146153,146154
71321,,,,,,,,146155,146156,146157,146158
71322,,,,,,,,146159,146160,146161,146162
71323,,,,отвязан,отвязана,отвязано,отвязаны,146163,146164,146165,146166
71324,,,,,,,,146167,146168,146169,146170
71325,,,,,,,,146171,146172,146173,146174
71326,,,,,,,,146175,146176,146177,146178
71327,,,,приоткрываем,приоткрываема,приоткрываемо,приоткрываемы,146179,146180,146181,146182
71328,,,,,,,,146183,146184,146185,146186
71329,,,,,,,,146187,146188,146189,146190
71330,,,,шпарим,шпарима,шпаримо,шпаримы,146191,146192,146193,146194
71331,,,,шпарен,шпарена,шпарено,шпарены,146195,146196,146197,146198
71332,,,,,,,,146199,146200,146201,146202
71333,,,,разукрашен,разукрашена,разукрашено,разукрашены,146203,146204,146205,146206
71334,,,,,,,,146207,146208,146209,146210
71335,,,,,,,,146211,146212,146213,146214
71336,,,,ориентируем,ориентируема,ориентируемо,ориентируемы,146215,146216,146217,146218
71337,,,,,,,,146219,146220,146221,146222
71338,,,,,,,,146223,146224,146225,146226
71339,,,,ярим,ярима,яримо,яримы,146227,146228,146229,146230
