word_id,aspect,partner,imperative_sg,imperative_pl,past_m,past_f,past_n,past_pl,presfut_conj_id,participle_active_present_id,participle_active_past_id,participle_passive_present_id,participle_passive_past_id
37508,perfective,доскакивать,доскачи',доскачи'те,доскака'л,доскака'ла,доскака'ло,доскака'ли,9795,,80306,,
37511,both,,досле'дуй,досле'дуйте,досле'довал,досле'довала,досле'довало,досле'довали,9796,80307,80308,80309,80310
37513,imperfective,дослужить,дослу'живай,дослу'живайте,дослу'живал,дослу'живала,дослу'живало,дослу'живали,9797,80311,80312,80313,
37514,both,дослужиться,дослу'живайся,дослу'живайтесь,дослу'живался,дослу'живалась,дослу'живалось,дослу'живались,9798,80314,80315,,
37515,imperfective,дослушать,дослу'шивай,дослу'шивайте,дослу'шивал,дослу'шивала,дослу'шивало,дослу'шивали,9799,80316,80317,80318,
37517,imperfective,доспеть,доспева'й,доспева'йте,доспева'л,доспева'ла,доспева'ло,доспева'ли,9800,80319,80320,,
37522,imperfective,достроить,достра'ивай,достра'ивайте,достра'ивал,достра'ивала,достра'ивало,достра'ивали,9801,80321,80322,80323,
37524,perfective,-,достучи'сь,достучи'тесь,достуча'лся,достуча'лась,достуча'лось,достуча'лись,9802,,80324,,
37526,imperfective,досчитать,досчи'тывай,досчи'тывайте,досчи'тывал,досчи'тывала,досчи'тывало,досчи'тывали,9803,80325,80326,80327,
37527,imperfective,дослать,досыла'й,досыла'йте,досыла'л,досыла'ла,досыла'ло,досыла'ли,9804,80328,80329,80330,
37528,imperfective,досохнуть,досыха'й,досыха'йте,досыха'л,досыха'ла,досыха'ло,досыха'ли,9805,80331,80332,,
37531,perfective,дотаскиваться,дотащи'сь,дотащи'тесь,дотащи'лся,дотащи'лась,дотащи'лось,дотащи'лись,9806,,80333,,
37534,imperfective,доучить,доу'чивай,доу'чивайте,доу'чивал,доу'чивала,доу'чивало,доу'чивали,9807,80334,80335,80336,
37535,imperfective,доучиться,доу'чивайся,доу'чивайтесь,доу'чивался,доу'чивалась,доу'чивалось,доу'чивались,9808,80337,80338,,
37538,imperfective,доцвести,доцвета'й,доцвета'йте,доцвета'л,доцвета'ла,доцвета'ло,доцвета'ли,9809,80339,80340,,
37541,imperfective,дочертить,доче'рчивай,доче'рчивайте,доче'рчивал,доче'рчивала,доче'рчивало,доче'рчивали,9810,80341,80342,80343,
37543,perfective,дочищать,дочи'сти//дочи'сть,до'чи'стите//до'чи'стьте,дочи'стил,дочи'стила,дочи'стило,дочи'стили,9811,,80344,,80345
37544,imperfective,дочитать,дочи'тывай,дочи'тывайте,дочи'тывал,дочи'тывала,дочи'тывало,дочи'тывали,9812,80346,80347,80348,
37545,imperfective,дошить,дошива'й,дошива'йте,дошива'л,дошива'ла,дошива'ло,дошива'ли,9813,80349,80350,80351,
37547,both,,драги'руй,драги'руйте,драги'ровал,драги'ровала,драги'ровало,драги'ровали,9814,80352,80353,80354,80355
37553,both,,драматизи'руй,драматизи'руйте,драматизи'ровал,драматизи'ровала,драматизи'ровало,драматизи'ровали,9815,80356,80357,80358,80359
37555,both,,драпиру'й,драпиру'йте,драпирова'л,драпирова'ла,драпирова'ло,драпирова'ли,9816,80360,80361,80362,80363
37556,imperfective,-,драпиру'йся,драпиру'йтесь,драпирова'лся,драпирова'лась,драпирова'лось,драпирова'лись,9817,80364,80365,,
37575,both,,дрени'руй,дрени'руйте,дрени'ровал,дрени'ровала,дрени'ровало,дрени'ровали,9818,80366,80367,80368,80369
37577,perfective,,дрессиру'й,дрессиру'йте,дрессирова'л,дрессирова'ла,дрессирова'ло,дрессирова'ли,9819,80370,80371,80372,30623
37596,imperfective,надрызгать,дры'згай,дры'згайте,дры'згал,дры'згала,дры'згало,дры'згали,9820,80373,80374,,
37597,imperfective,-,дры'згайся,дры'згайтесь,дры'згался,дры'згалась,дры'згалось,дры'згались,9821,80375,80376,,
37606,imperfective,отдубасить,дуба'сь,дуба'сьте,дуба'сил,дуба'сила,дуба'сило,дуба'сили,9822,80377,80378,80379,80380
37610,imperfective,выдубить,дуби',дуби'те,дуби'л,дуби'ла,дуби'ло,дуби'ли,9823,80381,80382,80383,80384
37644,imperfective,"задушиться;надушиться",души'сь,души'тесь,души'лся,души'лась,души'лось,души'лись,9824,80385,80386,,
37647,imperfective,вздыбиться,ды'бься,ды'бьтесь,ды'бился,ды'билась,ды'билось,ды'бились,9825,80387,80388,,
37650,imperfective,продырявить,дыря'вь,дыря'вьте,дыря'вил,дыря'вила,дыря'вило,дыря'вили,9826,80389,80390,80391,80392
37663,both,,европеизи'руй,европеизи'руйте,европеизи'ровал,европеизи'ровала,европеизи'ровало,европеизи'ровали,9827,80393,80394,80395,80396
37664,both,,европеизи'руйся,европеизи'руйтесь,европеизи'ровался,европеизи'ровалась,европеизи'ровалось,европеизи'ровались,9828,,,,
37669,imperfective,-,егози',егози'те,егози'л,егози'ла,егози'ло,егози'ли,9829,80397,80398,,
37701,imperfective,ёкнуть,,,,,,,14007,80399,80400,,
37711,imperfective,взъерепениться,ерепе'нься,ерепе'ньтесь,ерепе'нился,ерепе'нилась,ерепе'нилось,ерепе'нились,9830,80401,80402,,
37713,imperfective,взъерошить,еро'шь,еро'шьте,еро'шил,еро'шила,еро'шило,еро'шили,9831,80403,80404,80405,80406
37714,imperfective,взъерошиться,еро'шься,еро'шьтесь,еро'шился,еро'шилась,еро'шилось,еро'шились,9832,80407,80408,,
37715,imperfective,наерундить,ерунди',ерунди'те,ерунди'л,ерунди'ла,ерунди'ло,ерунди'ли,9833,80409,80410,,
37718,imperfective,взъершиться,ерши'сь,ерши'тесь,ерши'лся,ерши'лась,ерши'лось,ерши'лись,9834,80411,80412,,
37759,imperfective,-,желти',желти'те,желти'л,желти'ла,желти'ло,желти'ли,9835,80413,80414,80415,80416
37766,imperfective,-,жема'нься,жема'ньтесь,жема'нился,жема'нилась,жема'нилось,жема'нились,9836,80417,80418,,
37768,imperfective,-,жема'нничай,жема'нничайте,жема'нничал,жема'нничала,жема'нничало,жема'нничали,9837,80419,80420,,
37773,imperfective,-,жениха'йся,жениха'йтесь,жениха'лся,жениха'лась,жениха'лось,жениха'лись,9838,80421,80422,,
37782,imperfective,ожеребиться,жереби'сь,жереби'тесь,жереби'лся,жереби'лась,жереби'лось,жереби'лись,9839,80423,80424,,
37798,imperfective,-,живи',живи'те,живи'л,живи'ла,живи'ло,живи'ли,9840,80425,80426,80427,80428
